ID;Раздел;Проверка;Приоритет;Статус
CH-060;Control Panel;Активация неактивной новости;Высокий;Не выполнен
CH-061;UI;Корректность отображения элементов авторизации;Средний;Пройден
CH-062;UI;Корректность отображения кнопки SIGN IN;Средний;Пройден
CH-063;UI;Корректность отображения бокового меню;Средний;Пройден
CH-064;UI;Корректность отображения заголовков разделов;Средний;Пройден
CH-065;UI;Корректность отображения кнопок сортировки и фильтрации;Средний;Пройден
CH-066;UI;Корректность отображения карточек новостей;Средний;Пройден
CH-067;UI;Корректность отображения дат новостей;Низкий;Пройден
CH-068;UI;Корректность отображения элементов раздела Love is all;Низкий;Пройден
CH-069;UI;Корректность отображения формы создания новости;Высокий;Пройден
CH-070;UI;Корректность отображения обязательных полей формы;Высокий;Пройден
CH-071;UI;Корректность отображения переключателя Active;Средний;Пройден
CH-072;UI;Корректность отображения диалога удаления новости;Высокий;Пройден
CH-073;UI;Корректность отображения диалога отмены изменений;Средний;Пройден
CH-074;UI;Отсутствие перекрытия элементов интерфейса;Средний;Пройден
CH-075;UI;Отсутствие обрезания текста в основных элементах интерфейса;Средний;Пройден
CH-076;UI;Корректность прокрутки основных экранов;Средний;Пройден
CH-077;UI;Доступность основных кнопок и элементов управления для нажатия;Высокий;Пройден
CH-078;Удобство использования;Понятность названий основных разделов и кнопок;Низкий;Пройден
CH-079;Удобство использования;Наличие понятного подтверждения критических действий;Средний;Пройден
CH-080;Удобство использования;Возможность отменить удаление новости;Высокий;Пройден
CH-081;Удобство использования;Возможность отменить несохраненные изменения;Высокий;Пройден
CH-082;Целостность данных;Сохранение созданной новости после повторного открытия Control Panel;Высокий;Пройден
CH-083;Целостность данных;Сохранение изменений новости после повторного открытия;Высокий;Пройден
CH-084;Целостность данных;Отсутствие изменения данных после отмены редактирования;Высокий;Не выполнен
CH-085;Целостность данных;Удаленная новость отсутствует после повторного открытия списка;Высокий;Пройден
CH-086;Целостность данных;Неактивная новость сохраняет статус NOT ACTIVE после повторного открытия;Средний;Не выполнен
CH-087;Навигация;Возврат на предыдущий экран после закрытия бокового меню;Средний;Пройден
CH-088;Навигация;Сохранение корректного состояния экрана после перехода между разделами;Средний;Пройден
CH-089;Стабильность;Отсутствие аварийного завершения приложения при обычной навигации;Высокий;Пройден
CH-090;Стабильность;Отсутствие аварийного завершения приложения при открытии и закрытии форм;Высокий;Пройден
CH-091;Стабильность;Отсутствие аварийного завершения приложения при прокрутке списков;Средний;Пройден
CH-092;Стабильность;Отсутствие аварийного завершения приложения при открытии диалогов подтверждения;Средний;Пройден
CH-093;Состояние приложения;Сохранение корректного состояния после закрытия и повторного запуска;Высокий;Пройден
CH-094;Состояние приложения;Отсутствие повторного появления экрана авторизации после сохраненной сессии;Высокий;Пройден
CH-095;Состояние приложения;Корректное отображение списка новостей после создания новости;Высокий;Пройден
CH-096;Состояние приложения;Корректное отображение списка новостей после удаления новости;Высокий;Пройден
CH-097;Состояние приложения;Корректное отображение статуса новости после изменения Active;Высокий;Пройден
CH-098;Формы;Корректное открытие клавиатуры при вводе текста;Средний;Пройден
CH-099;Формы;Возможность редактирования текстовых полей;Высокий;Пройден
CH-100;Формы;Корректное закрытие клавиатуры после завершения ввода;Низкий;Пройден
CH-101;Control Panel;Корректность отображения даты создания новости;Средний;Не пройден
